,t,x,y,z,r,phi,theta
166,8046.0,-61.35704081068174,-69.7822038624514,-86.18254505677162,119.0,6.0,72.0
167,8077.0,54.46189457149945,-16.373001469899332,-52.74591475714475,188.0,6.0,74.0
168,8108.0,-10.718231284202778,77.64936927436976,-72.70153486143656,143.0,6.0,76.0
169,8138.0,-84.09967848303205,-53.47561556068264,-92.43453038523485,109.0,6.0,78.0
170,8170.0,82.46392407140388,-53.46637804645873,-91.15326048637158,111.0,6.0,80.0
171,8201.0,20.494724589007586,139.35821355946163,-130.64301306114228,58.0,6.0,82.0
172,8231.0,-60.3099309093486,-17.550563296606896,-58.256952789910585,174.0,6.0,84.0
173,8262.0,27.723576955418,-32.09894742183926,-39.33828585338867,231.0,6.0,86.0
174,8293.0,16.561857023577645,36.18831780615492,-36.9121744171815,241.0,6.0,88.0
175,8324.0,-37.21491023646072,-0.0,-34.51629495659092,252.0,6.0,90.0
176,8355.0,19.89405172852448,-43.469296068612714,-44.338790403897484,213.0,6.0,92.0
177,8386.0,89.6744661130316,103.82700534900398,-127.24331306083677,62.0,6.0,94.0
178,8417.0,-58.61613823716672,17.05765914207985,-56.620817608666314,178.0,6.0,96.0
179,8448.0,6.131441947782616,-41.6920360493562,-39.08469455097899,232.0,6.0,98.0
180,8478.0,35.35888092876097,22.925313296998784,-39.08469455097899,232.0,6.0,100.0
181,8509.0,-25.22502240975794,16.039580949955457,-27.724994226624023,294.0,6.0,102.0
182,8541.0,-3.4375859222614484,-24.903957715809653,-23.31707220526387,350.0,6.0,104.0
183,8571.0,32.89296761428949,9.888686600703494,-31.85657934861426,266.0,6.0,106.0
184,8602.0,-72.01142176334113,81.8995774163804,-101.14776590791676,96.0,6.0,108.0
185,8633.0,-47.01219675937234,-105.17385049227678,-106.84894443770493,88.0,6.0,110.0
186,8665.0,24.57690602570641,0.2175463187083554,-22.795620479294584,498.0,6.0,112.0
187,8695.0,-10.233648788087995,21.847783003332747,-22.376313217142776,523.0,6.0,114.0
188,8726.0,-15.186476119997579,-17.90111270231594,-21.772790030616914,540.0,6.0,116.0
189,8757.0,11.441789955845115,-3.220058422780873,-11.024341620709869,634.0,6.0,118.0
190,8787.0,-3.7021632143493366,23.71358153194806,-22.260427584471035,527.0,6.0,120.0
191,8819.0,-19.872062696673726,-13.135553499245455,-22.09366666544682,532.0,6.0,122.0
192,8850.0,19.561017554269952,-12.196274154761193,-21.38015375592099,548.0,6.0,124.0
193,8881.0,2.77663294093866,21.520212824550946,-20.125140159703694,567.0,6.0,126.0
194,8911.0,-22.635202578483227,-7.023922038677775,-21.98136819384323,535.0,6.0,128.0
195,10024.0,-39.7218191595555,-79.25298996080639,109.31050328434829,104.0,9.0,0.0
196,10055.0,42.18023570441209,-1.494045095263363,52.0431293971835,209.0,9.0,2.0
197,10086.0,-34.970525612259365,84.16460295282846,112.38135312996195,100.0,9.0,4.0
198,10117.0,-58.22340094605666,-62.775527981609514,105.57371101267157,109.0,9.0,6.0
199,10148.0,81.31111017801848,-26.81855127916586,105.57371101267157,109.0,9.0,8.0
200,10179.0,-9.320313272837666,83.91688469359215,104.11031397405327,111.0,9.0,10.0
201,10210.0,-73.44483500181644,-44.00667611455185,105.57371101267157,109.0,9.0,12.0
202,10241.0,68.15539912829509,-46.805562868187444,101.94844238203892,114.0,9.0,14.0
203,10271.0,16.65014746425802,95.52227128476733,119.56004322398881,91.0,9.0,16.0
204,10303.0,-82.81569560730921,-21.732277657268614,105.57371101267157,109.0,9.0,18.0
205,10334.0,53.847637928815764,-65.79965523536347,104.83978868129584,110.0,9.0,20.0
206,10364.0,38.74878491377929,79.05068304807904,108.55414300967794,105.0,9.0,22.0
207,10395.0,-71.77145681947448,1.9062870546658957,88.52930049850184,134.0,9.0,24.0
208,10426.0,42.924252459648024,-100.78014865189219,135.06941286126735,73.0,9.0,26.0
209,10458.0,65.30495668849066,71.67282856073551,119.56004322398881,91.0,9.0,28.0
210,10488.0,-94.90669571117861,30.373975850133302,122.87221394199629,87.0,9.0,30.0
211,10519.0,10.492238200920072,-87.40933451409714,108.55414300967794,105.0,9.0,32.0
212,10550.0,74.59452627957548,45.59767119782952,107.8022969666837,106.0,9.0,34.0
213,10580.0,-68.0882758040474,45.87788708971999,101.23662495624329,115.0,9.0,36.0
214,10612.0,-14.449166579750958,-87.46474101157973,109.31050328434829,104.0,9.0,38.0
215,10643.0,84.95252492042191,23.09864351660669,108.55414300967794,105.0,9.0,40.0
216,10674.0,-54.427941622387955,65.32045552777063,104.83978868129584,110.0,9.0,42.0
217,10704.0,-45.77590776433636,-95.51662854042857,130.60400700618325,78.0,9.0,44.0
218,10735.0,65.43615261039331,-1.1585274039212026,80.69896193965117,147.0,9.0,46.0
219,10767.0,-36.707660691296084,84.11149293850535,113.16048438564137,99.0,9.0,48.0
220,10798.0,-57.904208191667074,-64.69144595505622,107.05495183385693,107.0,9.0,50.0
221,10828.0,73.60313771793486,-22.83976471340602,95.02581528961629,124.0,9.0,52.0
222,10859.0,-10.215167242053255,79.17235650638476,98.43303220387791,119.0,9.0,54.0
223,10891.0,-67.74021051440072,-42.23595098990761,98.43303220387791,119.0,9.0,56.0
224,10921.0,69.45782175265377,-45.91203980680648,102.66465414593337,113.0,9.0,58.0
225,10952.0,12.753450871606828,81.69007673279887,101.94844238203892,114.0,9.0,60.0
226,10983.0,-90.18705617280193,-25.381307555526828,115.52549640307913,96.0,9.0,62.0
227,11014.0,49.8550999396965,-58.76687624922654,95.02581528961629,124.0,9.0,64.0
228,11045.0,31.77825547509774,67.84329267314273,92.37682190149394,128.0,9.0,66.0
229,11076.0,-63.14711047703072,0.5589565019689251,77.8668546184093,152.0,9.0,68.0
230,11107.0,35.926240408641156,-80.37278191504075,108.55414300967794,105.0,9.0,70.0
231,11138.0,52.712184425720125,59.95029015464455,98.43303220387791,119.0,9.0,72.0
232,11168.0,-66.82897815783659,20.09094553575688,86.04702200850073,138.0,9.0,74.0
233,11200.0,8.948959702766032,-64.8316926698246,80.69896193965117,147.0,9.0,76.0
234,11231.0,72.25051442783386,45.94120694984495,105.57371101267157,109.0,9.0,78.0
235,11261.0,-71.34162310870249,46.255113791032656,104.83978868129584,110.0,9.0,80.0
236,11292.0,-20.82640657560748,-141.61355536323518,176.4953973774417,32.0,9.0,82.0
237,11323.0,53.312544289352545,15.51428046667524,68.46415986872972,170.0,9.0,84.0
238,11355.0,-26.128061207334248,30.251625332383988,49.28880556023766,217.0,9.0,86.0
239,11385.0,-16.975428213984646,-37.09198734349074,50.29864398724194,214.0,9.0,88.0
240,11416.0,27.837920671256875,0.0,34.32566257894828,277.0,9.0,90.0
241,11447.0,-16.860796356344284,36.841512164946835,49.95898675301095,215.0,9.0,92.0
242,11479.0,-29.35777279811977,-33.99105414804657,55.38143621318441,200.0,9.0,94.0
243,11509.0,48.60050159388025,-14.143046868223522,62.41293780249033,183.0,9.0,96.0
244,11540.0,-5.13416260430068,34.91082427342742,43.509957695139164,236.0,9.0,98.0
245,11571.0,-29.420175766277836,-19.07488950381567,43.234298238539836,237.0,9.0,100.0
246,11602.0,19.635633229170793,-12.485512344325503,28.691929524707728,320.0,9.0,102.0
247,11633.0,2.895335641288508,20.97556774269382,26.109244926719,363.0,9.0,104.0
248,11664.0,-35.81714623126623,-10.767788974403567,46.1171015179147,227.0,9.0,106.0
249,11695.0,112.47420650008561,-127.91845733684795,210.03070373851793,4.0,9.0,108.0
250,11725.0,69.51013887174592,155.5053679115081,210.03070373851793,4.0,9.0,110.0
251,11757.0,2.519225510703258,0.022299317712182114,-3.1064630687143118,686.0,9.0,112.0
252,11788.0,8.481194755923065,-18.106474677154758,24.654148120048102,544.0,9.0,114.0
253,11819.0,12.77889984020717,15.063173605490263,24.357094405363778,549.0,9.0,116.0
254,11849.0,-19.413417784407812,5.463510490306766,24.867700772125108,540.0,9.0,118.0
255,11881.0,3.104442134568909,-19.88498005273739,24.816266849710836,541.0,9.0,120.0
256,11912.0,16.004669733462507,10.579183385771046,23.65628292745932,559.0,9.0,122.0
257,11942.0,-16.22603411576637,10.11691544017842,23.577986051857827,560.0,9.0,124.0
258,11974.0,-2.5585541826549805,-19.82999975332229,24.654148120048102,544.0,9.0,126.0
259,12005.0,19.961930534452716,6.1943798969477895,25.771981774206864,515.0,9.0,128.0
260,13117.0,34.25521234370988,68.3460137884508,-127.5909833022634,96.0,12.0,0.0
261,13149.0,-72.29180652942128,2.5606120300013444,-120.72689608407133,104.0,12.0,2.0
262,13179.0,27.75564866551761,-66.80034425369239,-120.72689608407133,104.0,12.0,4.0
263,13210.0,47.50935720733592,51.22381953470189,-116.59983309638247,109.0,12.0,6.0
264,13241.0,-68.69696991177024,22.658074723965374,-120.72689608407133,104.0,12.0,8.0
265,13272.0,7.985097665831676,-71.89506409012091,-120.72689608407133,104.0,12.0,10.0
266,13303.0,70.22621551201917,42.07814369399444,-136.63260530461275,86.0,12.0,12.0
